product_name,product_category,product_vendor,product_manufacturing_date,quantity,order_time,cust_name
iphone,mobile,apple,2025-07-15 06:00:00.000000,,,
s25,mobile,samsung,2025-07-15 06:00:00.000000,,,
s25,mobile,samsung,2025-07-15 06:00:00.000000,,,
oneplus,mobile,AT&T,2024-10-02 12:00:00.000000,,,
samsung,sam,sa,2025-07-15 19:48:13.000000,,,
Product_1753217210,Grocery,Vendor C,2025-07-22 15:46:50.478658,,,
Product_1753217216,Electronics,Vendor E,2025-07-22 15:46:56.705000,,,
Product_1753217221,Clothing,Vendor D,2025-07-22 15:47:01.710989,,,
Product_1753217330,Grocery,Vendor B,2025-07-22 15:48:50.258952,,,
Product_1753217335,Electronics,Vendor D,2025-07-22 15:48:55.544207,,,
Product_1753217340,Books,Vendor C,2025-07-22 15:49:00.555749,,,
Product_1753217345,Grocery,Vendor B,2025-07-22 15:49:05.564845,,,
Product_1753217350,Grocery,Vendor B,2025-07-22 15:49:10.570913,,,
Product_1753217355,Clothing,Vendor D,2025-07-22 15:49:15.959074,,,
Product_1753217360,Electronics,Vendor C,2025-07-22 15:49:20.965265,,,
Product_1753217365,Books,Vendor A,2025-07-22 15:49:25.976562,,,
Product_1753217370,Books,Vendor D,2025-07-22 15:49:30.986229,,,
Product_1753217375,Grocery,Vendor A,2025-07-22 15:49:35.996536,,,
Product_1753217381,Electronics,Vendor A,2025-07-22 15:49:41.092408,,,
Product_1753217386,Toys,Vendor C,2025-07-22 15:49:46.102899,,,
Product_1753217391,Electronics,Vendor E,2025-07-22 15:49:51.108258,,,
Product_1753217396,Grocery,Vendor C,2025-07-22 15:49:56.174929,,,
Product_1753217401,Electronics,Vendor A,2025-07-22 15:50:01.254671,,,
Product_1753217406,Grocery,Vendor B,2025-07-22 15:50:06.433490,,,
Product_1753217411,Electronics,Vendor E,2025-07-22 15:50:11.438944,,,
Product_1753217416,Clothing,Vendor B,2025-07-22 15:50:16.447358,,,
Product_1753217421,Toys,Vendor C,2025-07-22 15:50:21.549106,,,
Product_1753217426,Electronics,Vendor B,2025-07-22 15:50:26.555791,,,
Product_1753217431,Electronics,Vendor D,2025-07-22 15:50:31.560355,,,
Product_1753217436,Toys,Vendor B,2025-07-22 15:50:36.711642,,,
Product_1753217441,Grocery,Vendor B,2025-07-22 15:50:41.717299,,,
Product_1753217446,Electronics,Vendor B,2025-07-22 15:50:46.726880,,,
Product_1753217452,Grocery,Vendor E,2025-07-22 15:50:52.786821,,,
Product_1753217457,Electronics,Vendor B,2025-07-22 15:50:57.792975,,,
Product_1753217462,Books,Vendor D,2025-07-22 15:51:02.800363,,,
Product_1753217467,Toys,Vendor B,2025-07-22 15:51:07.829672,,,
Product_1753217472,Toys,Vendor D,2025-07-22 15:51:12.856726,,,
