id,product_name,product_category,product_vendor,product_manufacturing_date,product_expiry_date
1,iphone,mobile,apple,2025-07-15 06:00:00+00:00,
2,s25,mobile,samsung,2025-07-15 06:00:00+00:00,
3,s25,mobile,samsung,2025-07-15 06:00:00+00:00,
4,oneplus,mobile,AT&T,2024-10-02 12:00:00+00:00,
5,samsung,sam,sa,2025-07-15 19:48:13+00:00,2025-10-15 19:48:25+00:00
6,Product_1753217210,Grocery,Vendor C,2025-07-22 15:46:50.478658+00:00,2026-06-04 15:46:50.478658+00:00
7,Product_1753217216,Electronics,Vendor E,2025-07-22 15:46:56.705000+00:00,2026-02-10 15:46:56.705000+00:00
8,Product_1753217221,Clothing,Vendor D,2025-07-22 15:47:01.710989+00:00,2026-02-06 15:47:01.710989+00:00
9,Product_1753217330,Grocery,Vendor B,2025-07-22 15:48:50.258952+00:00,2025-10-07 15:48:50.258952+00:00
10,Product_1753217335,Electronics,Vendor D,2025-07-22 15:48:55.544207+00:00,2025-12-11 15:48:55.544207+00:00
11,Product_1753217340,Books,Vendor C,2025-07-22 15:49:00.555749+00:00,2026-04-06 15:49:00.555749+00:00
12,Product_1753217345,Grocery,Vendor B,2025-07-22 15:49:05.564845+00:00,2025-10-29 15:49:05.564845+00:00
13,Product_1753217350,Grocery,Vendor B,2025-07-22 15:49:10.570913+00:00,2026-01-30 15:49:10.570913+00:00
14,Product_1753217355,Clothing,Vendor D,2025-07-22 15:49:15.959074+00:00,2026-02-09 15:49:15.959074+00:00
15,Product_1753217360,Electronics,Vendor C,2025-07-22 15:49:20.965265+00:00,2025-08-28 15:49:20.965265+00:00
16,Product_1753217365,Books,Vendor A,2025-07-22 15:49:25.976562+00:00,2026-01-28 15:49:25.976562+00:00
17,Product_1753217370,Books,Vendor D,2025-07-22 15:49:30.986229+00:00,2026-07-08 15:49:30.986229+00:00
18,Product_1753217375,Grocery,Vendor A,2025-07-22 15:49:35.996536+00:00,2026-02-28 15:49:35.996536+00:00
19,Product_1753217381,Electronics,Vendor A,2025-07-22 15:49:41.092408+00:00,2025-11-23 15:49:41.092408+00:00
20,Product_1753217386,Toys,Vendor C,2025-07-22 15:49:46.102899+00:00,2026-03-10 15:49:46.102899+00:00
21,Product_1753217391,Electronics,Vendor E,2025-07-22 15:49:51.108258+00:00,2025-09-02 15:49:51.108258+00:00
22,Product_1753217396,Grocery,Vendor C,2025-07-22 15:49:56.174929+00:00,2026-07-13 15:49:56.174929+00:00
